"NAME","CODE","DESC","CATEGORY","TERMINOLOGY","OUTCOME","COVARIATE"
"CANCER","B653.","Myeloid sarcoma                                                                                                                                                                                                                                                ","LEUKAEMIA (4)","READ",0,1
"CANCER","B6531","Granulocytic sarcoma                                                                                                                                                                                                                                           ","LEUKAEMIA (4)","READ",0,1
"CANCER","B9110","Choriocarcinoma                                                                                                                                                                                                                                                ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5822","Secondary malignant neoplasm of skin of neck                                                                                                                                                                                                                   ","METASTASES (6)","READ",0,1
"CANCER","B652.","Subacute myeloid leukaemia                                                                                                                                                                                                                                     ","LEUKAEMIA (4)","READ",0,1
"CANCER","B5751","Secondary malignant neoplasm of rectum                                                                                                                                                                                                                         ","METASTASES (6)","READ",0,1
"CANCER","BB5a.","[M]Renal adenoma and carcinoma                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBG8.","[M]Infantile fibrosarcoma                                                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B066.","Malignant neoplasm of lateral wall of oropharynx                                                                                                                                                                                                               ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B57y.","Secondary malignant neoplasm of other digestive organ                                                                                                                                                                                                          ","METASTASES (6)","READ",0,1
"CANCER","B5602","Secondary and unspec malig neop superficial cervical LN                                                                                                                                                                                                        ","METASTASES (6)","READ",0,1
"CANCER","B5246","Malignant neoplasm,overlap lesion periph nerve & auton ns                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3123","Malig neop of connective and soft tissue of lower leg                                                                                                                                                                                                          ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B110z","Malignant neoplasm of cardia of stomach NOS                                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B073.","Malignant neoplasm of anterior wall of nasopharynx                                                                                                                                                                                                             ","SOLID TUMOUR (3)","READ",0,1
"CANCER","Byu73","[X]Malignant neoplasm of female genital organ, unspecified                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBn..","[M]Plasma cell tumours                                                                                                                                                                                                                                         ","LEUKAEMIA (4)","READ",0,1
"CANCER","B0z2.","Malignant neoplasm of laryngopharynx                                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBK02","[M]Leiomyosarcoma NOS                                                                                                                                                                                                                                          ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B560.","Secondary and unspec malig neop lymph nodes head/face/neck                                                                                                                                                                                                     ","METASTASES (6)","READ",0,1
"CANCER","BB32.","[M]Multicentric basal cell carcinoma                                                                                                                                                                                                                           ","NON-MELANOMA SKIN CANCER (8)","READ",0,1
"CANCER","BBk7.","[M]Malignant lymphoma, centroblastic type, follicular                                                                                                                                                                                                          ","LYMPHOMA (5)","READ",0,1
"CANCER","142..","H/O: malignant neoplasm (*)                                                                                                                                                                                                                                    ","HISTORY OF CANCER (1)","READ",0,1
"CANCER","B5601","Secondary and unspec malignant neoplasm mastoid lymph nodes                                                                                                                                                                                                    ","METASTASES (6)","READ",0,1
"CANCER","B471.","Malignant neoplasm of descended testis                                                                                                                                                                                                                         ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5531","Malignant neoplasm of presacral region                                                                                                                                                                                                                         ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3241","Malignant melanoma of neck                                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB9M.","[M]Intracystic carcinoma NOS                                                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3250","Malignant melanoma of axilla                                                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B673.","Mast cell leukaemia                                                                                                                                                                                                                                            ","LEUKAEMIA (4)","READ",0,1
"CANCER","BB1A.","[M]Pleomorphic carcinoma                                                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBZC.","[M]Ameloblastic odontosarcoma                                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B104.","Malignant neoplasm of middle third of oesophagus                                                                                                                                                                                                               ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B7F20","Cerebral meningioma                                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5640","Secondary and unspec malig neop superficial inguinal LN                                                                                                                                                                                                        ","METASTASES (6)","READ",0,1
"CANCER","B47..","Malignant neoplasm of testis                                                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBrA7","[M]Acute myelofibrosis                                                                                                                                                                                                                                         ","LEUKAEMIA (4)","READ",0,1
"CANCER","B350.","Malignant neoplasm of nipple and areola of male breast                                                                                                                                                                                                         ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6231","Malignant histiocytosis of lymph nodes head, face and neck                                                                                                                                                                                                     ","LYMPHOMA (5)","READ",0,1
"CANCER","B62x6","True histiocytic lymphoma                                                                                                                                                                                                                                      ","LYMPHOMA (5)","READ",0,1
"CANCER","B34y.","Malignant neoplasm of other site of female breast                                                                                                                                                                                                              ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B0z..","Malig neop other/ill-defined sites lip, oral cavity, pharynx                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","ZV679","[V]Follow-up exam aft combined treatment for malig neoplasm                                                                                                                                                                                                    ","HISTORY OF CANCER (1)","READ",0,1
"CANCER","B525.","Malignant neoplasm of cauda equina                                                                                                                                                                                                                             ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBj0.","[M]Hodgkin's disease NOS                                                                                                                                                                                                                                       ","LYMPHOMA (5)","READ",0,1
"CANCER","BBF1.","[M]Sarcoma NOS                                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3377","Malignant neoplasm of skin of foot                                                                                                                                                                                                                             ","NON-MELANOMA SKIN CANCER (8)","READ",0,1
"CANCER","B41y0","Malignant neoplasm of cervical stump                                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B0023","Malignant neoplasm of upper lip, oral aspect                                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B1zz.","Malignant neoplasm of digestive tract and peritoneum NOS                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3273","Malignant melanoma of popliteal fossa area                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3104","Malignant neoplasm of tarsus of eyelid                                                                                                                                                                                                                         ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB5Cz","[M]Gastrinoma or carcinoma NOS                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB1L.","[M]Small cell carcinoma, fusiform cell type                                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBQ1z","[M]Seminoma NOS                                                                                                                                                                                                                                                ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBZ2.","[M]Odontogenic tumour, malignant                                                                                                                                                                                                                               ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6200","Nodular lymphoma of unspecified site                                                                                                                                                                                                                           ","LYMPHOMA (5)","READ",0,1
"CANCER","B61z4","Hodgkin's disease NOS of lymph nodes of axilla and arm                                                                                                                                                                                                         ","LYMPHOMA (5)","READ",0,1
"CANCER","B5z..","Malignant neoplasm of other and unspecified site NOS                                                                                                                                                                                                           ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB5D1","[M]Cholangiocarcinoma                                                                                                                                                                                                                                          ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B574z","Secondary malig neop of small intestine or duodenum NOS                                                                                                                                                                                                        ","METASTASES (6)","READ",0,1
"CANCER","B582z","Secondary malignant neoplasm of skin NOS                                                                                                                                                                                                                       ","METASTASES (6)","READ",0,1
"CANCER","B18z.","Malignant neoplasm of retroperitoneum and peritoneum NOS                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B3114","Malignant neoplasm of connective and soft tissue of finger                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6279","Mucosa-associated lymphoma                                                                                                                                                                                                                                     ","LYMPHOMA (5)","READ",0,1
"CANCER","BB5M.","[M]Tubular adenomas and adenocarcinomas                                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5603","Secondary and unspec malignant neoplasm occipital lymph node                                                                                                                                                                                                   ","METASTASES (6)","READ",0,1
"CANCER","BB1G.","[M]Spheroidal cell carcinoma                                                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B306z","Malignant neoplasm of pelvis, sacrum or coccyx NOS                                                                                                                                                                                                             ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBB5.","[M]Adenocarcinoma with apocrine metaplasia                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B507.","Malignant neoplasm of lacrimal duct                                                                                                                                                                                                                            ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B64..","Lymphoid leukaemia                                                                                                                                                                                                                                             ","LEUKAEMIA (4)","READ",0,1
"CANCER","B562z","Secondary and unspec malig neop intra-abdominal LN NOS                                                                                                                                                                                                         ","METASTASES (6)","READ",0,1
"CANCER","8Hn..","Priority cancer referral                                                                                                                                                                                                                                       ","POSSIBLE CANCER (2)","READ",0,1
"CANCER","B327.","Malignant melanoma of lower limb and hip                                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBLA.","[M]Carcinosarcoma, embryonal type                                                                                                                                                                                                                              ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B342.","Malignant neoplasm of upper-inner quadrant of female breast                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBN1.","[M]Synovial sarcoma NOS                                                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B6144","Hodgkin's nodular sclerosis of lymph nodes of axilla and arm                                                                                                                                                                                                   ","LYMPHOMA (5)","READ",0,1
"CANCER","B650.","Acute myeloid leukaemia                                                                                                                                                                                                                                        ","LEUKAEMIA (4)","READ",0,1
"CANCER","4M02.","Gleason prostate grade 8-10 (high)                                                                                                                                                                                                                             ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B48y1","Malignant neoplasm of tunica vaginalis                                                                                                                                                                                                                         ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B314.","Malignant neoplasm of connective and soft tissue of abdomen                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B572.","Secondary malignant neoplasm of pleura                                                                                                                                                                                                                         ","METASTASES (6)","READ",0,1
"CANCER","B338.","Squamous cell carcinoma of skin                                                                                                                                                                                                                                ","NON-MELANOMA SKIN CANCER (8)","READ",0,1
"CANCER","B50..","Malignant neoplasm of eye                                                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5240","Malignant neoplasm of peripheral nerves of head, face & neck                                                                                                                                                                                                   ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BBrz.","[M]Leukaemia NOS                                                                                                                                                                                                                                               ","LEUKAEMIA (4)","READ",0,1
"CANCER","B69..","Myelomonocytic leukaemia                                                                                                                                                                                                                                       ","LEUKAEMIA (4)","READ",0,1
"CANCER","B0010","Malignant neoplasm of lower lip, external                                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B32y.","Malignant melanoma of other specified skin site                                                                                                                                                                                                                ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B1802","Malignant neoplasm of retrocaecal tissue                                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B62..","Other malignant neoplasm of lymphoid and histiocytic tissue                                                                                                                                                                                                    ","LYMPHOMA (5)","READ",0,1
"CANCER","B3103","Malignant neoplasm of cartilage of ear                                                                                                                                                                                                                         ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B45X.","Malignant neoplasm/overlapping lesion/feml genital organs                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B17..","Malignant neoplasm of pancreas                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B5830","Secondary malignant neoplasm of brain                                                                                                                                                                                                                          ","METASTASES (6)","READ",0,1
"CANCER","BBB0.","[M]Adenosquamous carcinoma                                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","ByuE0","[X]Malignant neoplasms/independent(primary)multiple sites                                                                                                                                                                                                      ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B56..","Secondary and unspecified malignant neoplasm of lymph nodes                                                                                                                                                                                                    ","METASTASES (6)","READ",0,1
"CANCER","B0623","Malignant neoplasm of palatopharyngeal arch                                                                                                                                                                                                                    ","SOLID TUMOUR (3)","READ",0,1
"CANCER","BB1M.","[M]Small cell carcinoma, intermediate cell                                                                                                                                                                                                                     ","SOLID TUMOUR (3)","READ",0,1
"CANCER","8BC6.","Cancer treatment started                                                                                                                                                                                                                                       ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B58y9","Secondary malignant neoplasm of tongue                                                                                                                                                                                                                         ","METASTASES (6)","READ",0,1
"CANCER","B130.","Malignant neoplasm of hepatic flexure of colon                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B587.","Secondary malignant neoplasm of adrenal gland                                                                                                                                                                                                                  ","METASTASES (6)","READ",0,1
"CANCER","BBrA5","[M]Acute megakaryoblastic leukaemia                                                                                                                                                                                                                            ","LEUKAEMIA (4)","READ",0,1
"CANCER","B521.","Malignant neoplasm of cerebral meninges                                                                                                                                                                                                                        ","SOLID TUMOUR (3)","READ",0,1
"CANCER","ByuC0","[X]Malignant neoplasm of other specified sites                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B67..","Other specified leukaemia                                                                                                                                                                                                                                      ","LEUKAEMIA (4)","READ",0,1
"CANCER","BBV2.","[M]Chondroblastic osteosarcoma                                                                                                                                                                                                                                 ","SOLID TUMOUR (3)","READ",0,1
"CANCER","B18y3","Malignant neoplasm of omentum                                                                                                                                                                                                                                  ","SOLID TUMOUR (3)","READ",0,1
