name,terminology,code,term,code_type,RecordDate,covariate_only
AMI,SNOMED,314116003,Post infarct angina,0,20210127,null
AMI,SNOMED,314207007,Non-Q wave myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,315287002,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,1,20210127,null
AMI,SNOMED,371068009,Myocardial infarction with complication (disorder),1,20210127,null
AMI,SNOMED,394659003,Acute coronary syndrome (disorder),1,20210127,null
AMI,SNOMED,394710008,First myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,398274000,Coronary artery thrombosis (disorder),1,20210127,null
AMI,SNOMED,399211009,History of - myocardial infarction (context-dependent category),0,20210127,null
AMI,SNOMED,401303003,Acute ST segment elevation myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,401314000,Acute non-ST segment elevation myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,42531007,Microinfarct of heart,0,20210127,null
AMI,SNOMED,428196007,Mixed myocardial ischemia and infarction (disorder),1,20210127,null
AMI,SNOMED,428752002,Recent myocardial infarction (situation),1,20210127,null
AMI,SNOMED,52035003,Acute anteroapical myocardial infarction,1,20210127,null
AMI,SNOMED,54329005,Acute myocardial infarction of anterior wall,1,20210127,null
AMI,SNOMED,57054005,Acute myocardial infarction,1,20210127,null
AMI,SNOMED,58612006,Acute myocardial infarction of lateral wall,1,20210127,null
AMI,SNOMED,62695002,Acute anteroseptal myocardial infarction,1,20210127,null
AMI,SNOMED,65547006,Acute myocardial infarction of inferolateral wall,1,20210127,null
AMI,SNOMED,66189004,Postmyocardial infarction syndrome,0,20210127,null
AMI,SNOMED,698593009,History of non-ST segment elevation myocardial infarction (situation),0,20210127,null
AMI,SNOMED,70211005,Acute myocardial infarction of anterolateral wall,1,20210127,null
AMI,SNOMED,703164000,Acute ST segment elevation myocardial infarction of anterior wall (disorder),1,20210127,null
AMI,SNOMED,703209002,Subsequent ST segment elevation myocardial infarction of inferior wall (disorder),1,20210127,null
AMI,SNOMED,703211006,Subsequent ST segment elevation myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,703213009,Acute ST segment elevation myocardial infarction of inferior wall (disorder),1,20210127,null
AMI,SNOMED,703360004,Subsequent non-ST segment elevation myocardial infarction (disorder),1,20210127,null
AMI,SNOMED,70422006,Acute subendocardial infarction,1,20210127,null
AMI,SNOMED,73795002,Acute myocardial infarction of inferior wall,1,20210127,null
AMI,SNOMED,76593002,Acute myocardial infarction of inferoposterior wall,1,20210127,null
AMI,SNOMED,79009004,Acute myocardial infarction of septum,1,20210127,null
BMI_obesity,ICD10,E66,Diagnosis of obesity,,,null
BMI_obesity,SNOMED,162864005,Body mass index 30+ - obesity (finding),1,20210127,null
BMI_obesity,SNOMED,408512008,Body mass index 40+ - severely obese (finding),1,20210127,null
BMI_obesity,SNOMED,914721000000105,Obese class I (body mass index 30.0 - 34.9) (finding),1,20210127,null
BMI_obesity,SNOMED,914731000000107,Obese class II (body mass index 35.0 - 39.9) (finding),1,20210127,null
BMI_obesity,SNOMED,914741000000103,Obese class III (body mass index equal to or greater than 40.0) (finding),1,20210127,null
BMI_obesity,SNOMED,921031000000102,Child body mass index 98.1st-99.6th centile (finding),1,20210127,null
BMI_obesity,SNOMED,921051000000109,Child body mass index greater than 99.6th centile (finding),1,20210127,null
CKD,ICD10,N00,Acute nephritic syndrome,1,20210127,null
CKD,ICD10,N01,Rapidly progressive nephritic syndrome,1,20210127,null
CKD,ICD10,N03,Chronic nephritic syndrome,1,20210127,null
CKD,ICD10,N052,Unspecified nephritic syndrome ;  Diffuse membranous glomerulonephritis,1,20210127,null
CKD,ICD10,N053,Unspecified nephritic syndrome ;  Diffuse mesangial proliferative glomerulonephritis,1,20210127,null
CKD,ICD10,N054,Unspecified nephritic syndrome ;  Diffuse endocapillary proliferative glomerulonephritis,1,20210127,null
CKD,ICD10,N055,Unspecified nephritic syndrome ;  Diffuse mesangiocapillary glomerulonephritis,1,20210127,null
CKD,ICD10,N056,Unspecified nephritic syndrome ;  Dense deposit disease,1,20210127,null
CKD,ICD10,N072,"Hereditary nephropathy, not elsewhere classified ;  Diffuse membranous glomerulonephritis",1,20210127,null
CKD,ICD10,N073,"Hereditary nephropathy, not elsewhere classified ;  Diffuse mesangial proliferative glomerulonephritis",1,20210127,null
CKD,ICD10,N074,"Hereditary nephropathy, not elsewhere classified ;  Diffuse endocapillary proliferative glomerulonephritis",1,20210127,null
CKD,ICD10,N10,Acute tubulo-interstitial nephritis,1,20210127,null
CKD,ICD10,N17,Acute renal failure,1,20210127,null
CKD,ICD10,N181,"Chronic kidney disease, stage 1",1,20210127,null
CKD,ICD10,N182,"Chronic kidney disease, stage 2",1,20210127,null
CKD,ICD10,N183,"Chronic kidney disease, stage 3",1,20210127,null
CKD,ICD10,N184,"Chronic kidney disease, stage 4",1,20210127,null
CKD,ICD10,N185,"Chronic kidney disease, stage 5",1,20210127,null
CKD,ICD10,N189,"Chronic kidney disease, unspecified",1,20210127,null
CKD,ICD10,N19,Unspecified kidney failure,1,20210127,null
CKD,ICD10,N25,Disorders resulting from impaired renal tubular function,1,20210127,null
CKD,ICD10,T861,Kidney transplant failure and rejection,1,20210127,null
CKD,ICD10,Y841,Kidney dialysis,1,20210127,null
CKD,ICD10,Z49,Care involving dialysis,1,20210127,null
CKD,ICD10,Z940,Kidney transplant status,1,20210127,null
CKD,ICD10,Z992,Dependence on renal dialysis,1,20210127,null
CKD,SNOMED,129151000119102,Chronic kidney disease stage 4 due to hypertension (disorder),1,20210127,null
CKD,SNOMED,129171000119106,Chronic kidney disease stage 3 due to hypertension (disorder),1,20210127,null
CKD,SNOMED,324121000000109,Chronic kidney disease stage 1 with proteinuria (disorder),1,20210127,null
CKD,SNOMED,324151000000104,Chronic kidney disease stage 1 without proteinuria (disorder),1,20210127,null
CKD,SNOMED,324181000000105,Chronic kidney disease stage 2 with proteinuria (disorder),1,20210127,null
CKD,SNOMED,324211000000106,Chronic kidney disease stage 2 without proteinuria (disorder),1,20210127,null
CKD,SNOMED,324251000000105,Chronic kidney disease stage 3 with proteinuria (disorder),1,20210127,null
CKD,SNOMED,324281000000104,Chronic kidney disease stage 3 without proteinuria (disorder),1,20210127,null
CKD,SNOMED,324311000000101,Chronic kidney disease stage 3A with proteinuria (disorder),1,20210127,null
CKD,SNOMED,324341000000100,Chronic kidney disease stage 3A without proteinuria (disorder),1,20210127,null
CKD,SNOMED,324371000000106,Chronic kidney disease stage 3B with proteinuria (disorder),1,20210127,null
CKD,SNOMED,324411000000105,Chronic kidney disease stage 3B without proteinuria (disorder),1,20210127,null
CKD,SNOMED,324441000000106,Chronic kidney disease stage 4 with proteinuria (disorder),1,20210127,null
CKD,SNOMED,324471000000100,Chronic kidney disease stage 4 without proteinuria (disorder),1,20210127,null
CKD,SNOMED,324501000000107,Chronic kidney disease stage 5 with proteinuria (disorder),1,20210127,null
CKD,SNOMED,324541000000105,Chronic kidney disease stage 5 without proteinuria (disorder),1,20210127,null
CKD,SNOMED,431855005,Chronic kidney disease stage 1 (disorder),1,20210127,null
CKD,SNOMED,431856006,Chronic kidney disease stage 2 (disorder),1,20210127,null
CKD,SNOMED,431857002,Chronic kidney disease stage 4 (disorder),1,20210127,null
CKD,SNOMED,433144002,Chronic kidney disease stage 3 (disorder),1,20210127,null
CKD,SNOMED,433146000,Chronic kidney disease stage 5 (disorder),1,20210127,null
CKD,SNOMED,700378005,Chronic kidney disease stage 3A (disorder),1,20210127,null
CKD,SNOMED,700379002,Chronic kidney disease stage 3B (disorder),1,20210127,null
CKD,SNOMED,714152005,Chronic kidney disease stage 5 on dialysis (disorder),1,20210127,null
CKD,SNOMED,731000119105,Chronic kidney disease stage 3 due to type 2 diabetes mellitus (disorder),1,20210127,null
CKD,SNOMED,949401000000103,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A1 (disorder),1,20210127,null
CKD,SNOMED,949421000000107,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A2 (disorder),1,20210127,null
CKD,SNOMED,949481000000108,Chronic kidney disease with glomerular filtration rate category G1 and albuminuria category A3 (disorder),1,20210127,null
CKD,SNOMED,949521000000108,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A1 (disorder),1,20210127,null
CKD,SNOMED,949561000000100,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A2 (disorder),1,20210127,null
CKD,SNOMED,949621000000109,Chronic kidney disease with glomerular filtration rate category G2 and albuminuria category A3 (disorder),1,20210127,null
CKD,SNOMED,949881000000106,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A1 (disorder),1,20210127,null
CKD,SNOMED,949901000000109,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A2 (disorder),1,20210127,null
CKD,SNOMED,949921000000100,Chronic kidney disease with glomerular filtration rate category G3a and albuminuria category A3 (disorder),1,20210127,null
CKD,SNOMED,950061000000103,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A1 (disorder),1,20210127,null
CKD,SNOMED,950081000000107,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A2 (disorder),1,20210127,null
CKD,SNOMED,950101000000101,Chronic kidney disease with glomerular filtration rate category G3b and albuminuria category A3 (disorder),1,20210127,null
CKD,SNOMED,950181000000106,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1 (disorder),1,20210127,null
CKD,SNOMED,950211000000107,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2 (disorder),1,20210127,null
CKD,SNOMED,950231000000104,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3 (disorder),1,20210127,null
CKD,SNOMED,950251000000106,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1 (disorder),1,20210127,null
CKD,SNOMED,950291000000103,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2 (disorder),1,20210127,null
CKD,SNOMED,950311000000102,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3 (disorder),1,20210127,null
COPD,ICD10,J40,Bronchitis not specified as acute or chronic,1,20210127,null
COPD,ICD10,J41,Simple and mucopurulent chronic bronchitis,1,20210127,null
COPD,ICD10,J42,Unspecified chronic bronchitis,1,20210127,null
COPD,ICD10,J43,Emphysema,1,20210127,null
COPD,ICD10,J44,Other chronic obstructive pulmonary disease,1,20210127,null
COPD,SNOMED,10692761000119107,Asthma-chronic obstructive pulmonary disease overlap syndrome (disorder),1,20210127,null
COPD,SNOMED,135836000,End stage chronic obstructive airways disease (disorder),1,20210127,null
COPD,SNOMED,13645005,Chronic obstructive lung disease (disorder),1,20210127,null
COPD,SNOMED,16003001,Giant bullous emphysema (disorder),1,20210127,null
COPD,SNOMED,185086009,Chronic obstructive bronchitis (disorder),1,20210127,null
COPD,SNOMED,195949008,Chronic asthmatic bronchitis (disorder),1,20210127,null
COPD,SNOMED,195953005,Mixed simple and mucopurulent chronic bronchitis (disorder),1,20210127,null
COPD,SNOMED,195957006,Chronic bullous emphysema (disorder),1,20210127,null
COPD,SNOMED,195958001,Segmental bullous emphysema (disorder),1,20210127,null
COPD,SNOMED,195959009,Zonal bullous emphysema (disorder),1,20210127,null
COPD,SNOMED,195963002,Acute vesicular emphysema (disorder),1,20210127,null
COPD,SNOMED,196026004,Chronic emphysema caused by chemical fumes (disorder),1,20210127,null
COPD,SNOMED,196027008,Toxic bronchiolitis obliterans (disorder),1,20210127,null
COPD,SNOMED,233672007,Byssinosis grade 3 (disorder),1,20210127,null
COPD,SNOMED,233673002,Drug-induced bronchiolitis obliterans (disorder),1,20210127,null
COPD,SNOMED,233674008,Pulmonary emphysema in alpha-1 primary immunodeficiency deficiency (disorder),1,20210127,null
COPD,SNOMED,233675009,Toxic emphysema (disorder),1,20210127,null
COPD,SNOMED,233677001,Scar emphysema (disorder),1,20210127,null
COPD,SNOMED,266355005,Bullous emphysema with collapse (disorder),1,20210127,null
COPD,SNOMED,266356006,Atrophic (senile) emphysema (disorder),1,20210127,null
COPD,SNOMED,293991000000106,Very severe chronic obstructive pulmonary disease (disorder),1,20210127,null
COPD,SNOMED,313296004,Mild chronic obstructive pulmonary disease (disorder),1,20210127,null
COPD,SNOMED,313297008,Moderate chronic obstructive pulmonary disease (disorder),1,20210127,null
COPD,SNOMED,313299006,Severe chronic obstructive pulmonary disease (disorder),1,20210127,null
COPD,SNOMED,32544004,Chronic obliterative bronchiolitis caused by inhalation of chemical fumes AND/OR vapors (disorder),1,20210127,null
COPD,SNOMED,360470001,Chronic mucus hypersecretion (disorder),1,20210127,null
COPD,SNOMED,40100001,Obliterative bronchiolitis (disorder),1,20210127,null
COPD,SNOMED,45145000,Unilateral emphysema (situation),1,20210127,null
COPD,SNOMED,49691004,Occupational bronchitis (disorder),1,20210127,null
COPD,SNOMED,4981000,Panacinar emphysema (disorder),1,20210127,null
COPD,SNOMED,52571006,Chronic tracheobronchitis (disorder),1,20210127,null
COPD,SNOMED,61937009,Simple chronic bronchitis (disorder),1,20210127,null
COPD,SNOMED,63480004,Chronic bronchitis (disorder),1,20210127,null
COPD,SNOMED,66987001,Congenital lobar emphysema (disorder),1,20210127,null
COPD,SNOMED,68328006,Centriacinar emphysema (disorder),1,20210127,null
COPD,SNOMED,74417001,Mucopurulent chronic bronchitis (disorder),1,20210127,null
COPD,SNOMED,77690003,Interstitial emphysema of lung (disorder),1,20210127,null
COPD,SNOMED,84409004,Fetid chronic bronchitis (disorder),1,20210127,null
COPD,SNOMED,866901000000103,Eosinophilic bronchitis (disorder),1,20210127,null
COPD,SNOMED,87433001,Pulmonary emphysema (disorder),1,20210127,null
COPD,SNOMED,89549007,Catarrhal bronchitis (disorder),1,20210127,null
DIC,ICD10,D65,Disseminated intravascular coagulation,1,20210127,null
DVT,ICD10,I80,Phlebitis and thrombophlebitis,1,20210127,null
DVT_other,ICD10,I820,Other vein thrombosis,1,20210127,null
DVT_other,ICD10,I822,Other vein thrombosis,1,20210127,null
DVT_other,ICD10,I823,Other vein thrombosis,1,20210127,null
DVT_other,ICD10,I828,Other vein thrombosis,1,20210127,null
DVT_other,ICD10,I829,Other vein thrombosis,1,20210127,null
DVT_pregnancy,ICD10,O223,Thrombosis during pregnancy and puerperium,1,20210127,null
DVT_pregnancy,ICD10,O871,Thrombosis during pregnancy and puerperium,1,20210127,null
DVT_pregnancy,ICD10,O879,Thrombosis during pregnancy and puerperium,1,20210127,null
DVT_pregnancy,ICD10,O882,Thrombosis during pregnancy and puerperium,1,20210127,null
HF,ICD10,I110,Hypertensive heart disease with (congestive) heart failure,,,null
HF,ICD10,I130,Hypertensive heart and renal disease with (congestive) heart failure,,,null
HF,ICD10,I132,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,,,null
HF,ICD10,I50,Heart failure,,,null
HF,SNOMED,10335000,Chronic right-sided heart failure (disorder),1,20210127,null
HF,SNOMED,10633002,Acute congestive heart failure,1,20210127,null
HF,SNOMED,128404006,Right heart failure,1,20210127,null
HF,SNOMED,134401001,Left ventricular systolic dysfunction,1,20210127,null
HF,SNOMED,134440006,Referral to heart failure clinic,1,20210127,null
HF,SNOMED,194767001,Benign hypertensive heart disease with congestive cardiac failure,1,20210127,null
HF,SNOMED,194779001,Hypertensive heart and renal disease with (congestive) heart failure,1,20210127,null
HF,SNOMED,194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,1,20210127,null
HF,SNOMED,195111005,Decompensated cardiac failure,1,20210127,null
HF,SNOMED,195112003,Compensated cardiac failure,1,20210127,null
HF,SNOMED,195114002,Acute left ventricular failure,1,20210127,null
HF,SNOMED,206586007,Congenital cardiac failure,1,20210127,null
HF,SNOMED,233924009,Heart failure as a complication of care (disorder),1,20210127,null
HF,SNOMED,275514001,Impaired left ventricular function,1,20210127,null
HF,SNOMED,314206003,Refractory heart failure (disorder),1,20210127,null
HF,SNOMED,367363000,Right ventricular failure,1,20210127,null
HF,SNOMED,407596008,Echocardiogram shows left ventricular systolic dysfunction (finding),1,20210127,null
HF,SNOMED,420300004,New York Heart Association Classification - Class I (finding),1,20210127,null
HF,SNOMED,420913000,New York Heart Association Classification - Class III (finding),1,20210127,null
HF,SNOMED,421704003,New York Heart Association Classification - Class II (finding),1,20210127,null
HF,SNOMED,422293003,New York Heart Association Classification - Class IV (finding),1,20210127,null
HF,SNOMED,42343007,Congestive heart failure,1,20210127,null
HF,SNOMED,426263006,Congestive heart failure due to left ventricular systolic dysfunction (disorder),1,20210127,null
HF,SNOMED,426611007,Congestive heart failure due to valvular disease (disorder),1,20210127,null
HF,SNOMED,430396006,Chronic systolic dysfunction of left ventricle (disorder),1,20210127,null
HF,SNOMED,43736008,Rheumatic left ventricular failure,1,20210127,null
HF,SNOMED,446221000,Heart failure with normal ejection fraction (disorder),1,20210127,null
HF,SNOMED,48447003,Chronic heart failure (disorder),1,20210127,null
HF,SNOMED,56675007,Acute heart failure,1,20210127,null
HF,SNOMED,698592004,Asymptomatic left ventricular systolic dysfunction (disorder),1,20210127,null
HF,SNOMED,703272007,Heart failure with reduced ejection fraction (disorder),1,20210127,null
HF,SNOMED,717491000000102,Excepted from heart failure quality indicators - informed dissent (finding),1,20210127,null
HF,SNOMED,71892000,Cardiac asthma,1,20210127,null
HF,SNOMED,760361000000100,Fast track heart failure referral for transthoracic two dimensional echocardiogram,1,20210127,null
HF,SNOMED,79955004,Chronic cor pulmonale,1,20210127,null
HF,SNOMED,83105008,Malignant hypertensive heart disease with congestive heart failure,1,20210127,null
HF,SNOMED,84114007,Heart failure,1,20210127,null
HF,SNOMED,85232009,Left heart failure,1,20210127,null
HF,SNOMED,87837008,Chronic pulmonary heart disease,1,20210127,null
HF,SNOMED,88805009,Chronic congestive heart failure,1,20210127,null
HF,SNOMED,92506005,Biventricular congestive heart failure,1,20210127,null
ICVT,ICD10,G08,Intracranial venous thrombosis,1,20210127,null
ICVT,ICD10,I636,Intracranial venous thrombosis,1,20210127,null
ICVT,ICD10,I676,Intracranial venous thrombosis,1,20210127,null
ICVT,SNOMED,195230003,"Cerebral infarction due to cerebral venous thrombosis,  nonpyogenic",1,20210127,1
ICVT_pregnancy,ICD10,O225,ntracranial venous thrombosis in pregnancy and puerperium,1,20210127,null
ICVT_pregnancy,ICD10,O873,ntracranial venous thrombosis in pregnancy and puerperium,1,20210127,null
PCOS,ICD10,E282,Polycystic ovarian syndrome,null,null,null
PCOS,SNOMED,237055002,Polycystic ovary syndrome,null,null,null
PCOS,SNOMED,271199009,(Polycystic ovaries) or (Stein-Leventhal syndrome) (disorder),null,null,null
PCOS,SNOMED,426635002,Endoscopic drilling of ovary (procedure),null,null,null
PCOS,SNOMED,69878008,Polycystic ovaries (disorder),null,null,null
PCOS,SNOMED,830052009,Polycystic ovary syndrome of right ovary (disorder),null,null,null
PCOS,SNOMED,830053004,Polycystic ovary syndrome of left ovary (disorder),null,null,null
PCOS,SNOMED,830054005,Polycystic ovary syndrome of bilateral ovaries (disorder),null,null,null
PE,ICD10,I260,Pulmonary embolism,1,20210127,null
PE,ICD10,I269,Pulmonary embolism,1,20210127,null
PE,SNOMED,133971000119108,Pulmonary embolism with mention of acute cor pulmonale,1,20210127,1
PE,SNOMED,438773007,Pulmonary embolism with mention of acute cor pulmonale,1,20210127,1
PVT,ICD10,I81,Portal vein thrombosis,1,20210127,null
TTP,ICD10,M311,Thrombotic microangiopathy,1,20210127,null
VT,ICD10,O082,Embolism following abortion and ectopic and molar pregnancy,1,20210127,1
angina,ICD10,I20,Angina,,,null
angina,SNOMED,10971000087107,Myocardial ischemia during surgery (disorder),1,20210127,null
angina,SNOMED,15960061000119102,Unstable angina co-occurrent and due to coronary arteriosclerosis (disorder),1,20210127,null
angina,SNOMED,15960141000119102,Angina co-occurrent and due to coronary arteriosclerosis (disorder),1,20210127,null
angina,SNOMED,15960381000119109,Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder),1,20210127,null
angina,SNOMED,15960581000119102,Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft (disorder),1,20210127,null
angina,SNOMED,15960661000119107,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder),1,20210127,null
angina,SNOMED,19057007,Status anginosus (disorder),1,20210127,null
angina,SNOMED,194823009,Acute coronary insufficiency (disorder),1,20210127,null
angina,SNOMED,194828000,Angina (disorder),1,20210127,null
angina,SNOMED,21470009,Syncope anginosa (disorder),1,20210127,null
angina,SNOMED,225566008,Ischemic chest pain (finding),1,20210127,null
angina,SNOMED,233819005,Stable angina (disorder),1,20210127,null
angina,SNOMED,233821000,New onset angina (disorder),1,20210127,null
angina,SNOMED,233823002,Silent myocardial ischemia (disorder),1,20210127,null
angina,SNOMED,25106000,Impending infarction (disorder),1,20210127,null
angina,SNOMED,300995000,Exercise-induced angina (disorder),1,20210127,null
angina,SNOMED,314116003,Post infarct angina (disorder),1,20210127,null
angina,SNOMED,315025001,Refractory angina (disorder),1,20210127,null
angina,SNOMED,35928006,Nocturnal angina (disorder),1,20210127,null
angina,SNOMED,371806006,Progressive angina (disorder),1,20210127,null
angina,SNOMED,371807002,Atypical angina (disorder),1,20210127,null
angina,SNOMED,371808007,Recurrent angina status post percutaneous transluminal coronary angioplasty (disorder),1,20210127,null
angina,SNOMED,371809004,Recurrent angina status post coronary stent placement (disorder),1,20210127,null
angina,SNOMED,371810009,Recurrent angina status post coronary artery bypass graft (disorder),1,20210127,null
angina,SNOMED,371811008,Recurrent angina status post rotational atherectomy (disorder),1,20210127,null
angina,SNOMED,371812001,Recurrent angina status post directional coronary atherectomy (disorder),1,20210127,null
angina,SNOMED,394659003,Acute coronary syndrome (disorder),1,20210127,null
angina,SNOMED,41334000,"Angina, class II (disorder)",1,20210127,null
angina,SNOMED,413439005,Acute ischemic heart disease (disorder),1,20210127,null
angina,SNOMED,413444003,Acute myocardial ischemia (disorder),1,20210127,null
angina,SNOMED,413838009,Chronic ischemic heart disease (disorder),1,20210127,null
angina,SNOMED,413844008,Chronic myocardial ischemia (disorder),1,20210127,null
angina,SNOMED,414545008,Ischemic heart disease (disorder),1,20210127,null
angina,SNOMED,414795007,Myocardial ischemia (disorder),1,20210127,null
angina,SNOMED,429559004,Typical angina (disorder),1,20210127,null
angina,SNOMED,4557003,Preinfarction syndrome (disorder),1,20210127,null
angina,SNOMED,46109009,Subendocardial ischemia (disorder),1,20210127,null
angina,SNOMED,59021001,Angina decubitus (disorder),1,20210127,null
angina,SNOMED,61490001,"Angina, class I (disorder)",1,20210127,null
angina,SNOMED,697976003,Microvascular ischemia of myocardium (disorder),1,20210127,null
angina,SNOMED,703214003,Silent coronary vasospastic disease (disorder),1,20210127,null
angina,SNOMED,712866001,Resting ischemia co-occurrent and due to ischemic heart disease (disorder),1,20210127,null
angina,SNOMED,713405002,Subacute ischemic heart disease (disorder),1,20210127,null
angina,SNOMED,791000119109,Angina associated with type II diabetes mellitus (disorder),1,20210127,null
angina,SNOMED,85284003,"Angina, class III (disorder)",1,20210127,null
angina,SNOMED,87343002,Prinzmetal angina (disorder),1,20210127,null
angina,SNOMED,89323001,"Angina, class IV (disorder)",1,20210127,null
angina_unstable,ICD10,I201,Unstable angina,,,null
angina_unstable,SNOMED,15960061000119102,Unstable angina co-occurrent and due to coronary arteriosclerosis (disorder),1,20210127,null
angina_unstable,SNOMED,15960661000119107,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft (disorder),1,20210127,null
angina_unstable,SNOMED,19057007,Status anginosus (disorder),1,20210127,null
angina_unstable,SNOMED,25106000,Impending infarction (disorder),1,20210127,null
angina_unstable,SNOMED,315025001,Refractory angina (disorder),1,20210127,null
angina_unstable,SNOMED,35928006,Nocturnal angina (disorder),1,20210127,null
